,DATE,NBH,AM,AT,B,H,K,M,W
,vendredi 1  ,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,samedi 2  ,8,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,dimanche 3  ,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,lundi 4  ,"2,5",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,mardi 5  ,"2,5",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,mercredi 6  ,"2,5",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,jeudi 7  ,"2,5",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,vendredi 8  ,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,samedi 9  ,8,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,dimanche 10  ,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,lundi 11  ,"2,5",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,mardi 12  ,"2,5",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,mercredi 13  ,"2,5",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,jeudi 14  ,"2,5",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,vendredi 15  ,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,samedi 16  ,8,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,dimanche 17  ,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,lundi 18  ,"2,5",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,mardi 19  ,"2,5",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,mercredi 20  ,"2,5",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,jeudi 21  ,"2,5",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,vendredi 22  ,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,samedi 23  ,8,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,dimanche 24  ,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,lundi 25  ,"2,5",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,mardi 26  ,"2,5",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
,mercredi 27  ,"2,5",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,jeudi 28  ,"2,5",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,vendredi 29  ,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,samedi 30  ,8,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TotalH,,,120,200,50,70,40,10,20
,DATE,11/2019,,,,,,,
